BRAKE ON,5.516666666666667,6.166666666666667
GET THINGS OUT,18.516666666666666,77.66666666666667
START LOOSE,120.35,138.66666666666666
JACK UP,178.43333333333334,190.5
UNSCREW WHEEL,195.18333333333334,203.16666666666666
UNSCREW WHEEL,210.51666666666668,214.5
WITHDRAW WHEEL,216.01666666666668,219.66666666666666
PUT WHEEL,224.18333333333334,235.18333333333334
JACK DOWN,275.01666666666665,293.21666666666664
TIGHT WHEEL,299.51666666666665,330.5
PUT THINGS BACK,358.51666666666665,373.1666666666667
SCREW WHEEL,242.95,268.4
