CHECK RESPONSE,29.933333333333334,32.63333333333333
CHECK RESPONSE,65.4,68.73333333333333
OPEN AIRWAY,86.8,90.86666666666666
CHECK BREATHING,91.46666666666667,98.03333333333333
OPEN AIRWAY,121.9,125.23333333333333
GIVE BREATH,132.76666666666668,136.73333333333332
CHECK BREATHING,138.7,142.26666666666668
GIVE COMPRESSION,162.43333333333334,173.2
CHECK BREATHING,174.9,178.26666666666668
GIVE BREATH,182.93333333333334,188.0
GIVE COMPRESSION,188.76666666666668,198.53333333333333
CHECK BREATHING,199.76666666666668,203.33333333333334
CHECK BREATHING,73.93333333333334,80.0
