CONNECT REDFULL,58.56666666666667,62.03333333333333
CONNECT REDEMPTY,64.7,67.96666666666667
CONNECT BLACK,75.86666666666666,79.13333333333334
GROUND BLACK,87.8,90.2
START FULLCAR,96.63333333333334,99.06666666666666
START EMPTYCAR,118.6,122.06666666666666
START EMPTYCAR,140.53333333333333,141.26666666666668
REMOVE GROUND,160.46666666666667,161.63333333333333
REMOVE BLACK,171.76666666666668,172.76666666666668
DISCONNECT REDFULL,174.06666666666666,174.93333333333334
DISCONNECT REDEMPTY,176.6,177.46666666666667
